Year,State,District,Rice,Wheat,Jowar,Pearl Millet,Maize,Barley,Chickpea,Groundnut,Sesamum,Sugarcane,Cotton
2013,Karnataka,Dharwad,-1.0,1768,-1,-1,1130,-1,2824,-1,-1,-1,4104
2014,Karnataka,Dharwad,-1.0,1571,2323,-1,1043,-1,3418,3276,-1,-1,4161
2015,Karnataka,Dharwad,-1.0,1647,1520,-1,1368,-1,-1,4004,-1,-1,4725
2003,Karnataka,Belgaum,-1.0,975,638,600,555,-1,1975,1591,-1,-1,2052
2004,Karnataka,Belgaum,-1.0,947,581,594,-1,-1,1614,1457,-1,-1,-1
2005,Karnataka,Belgaum,-1.0,-1,593,582,-1,-1,1582,1588,-1,-1,-1
2006,Karnataka,Belgaum,-1.0,1315,511,555,613,-1,-1,1466,-1,-1,-1
2007,Karnataka,Belgaum,-1.0,1000,851,-1,-1,-1,-1,2181,-1,-1,3126
2008,Karnataka,Belgaum,-1.0,1422,917,-1,776,-1,-1,2111,-1,-1,-1
2009,Karnataka,Belgaum,-1.0,1553,1305,729,1005,-1,1732,2414,-1,-1,-1
2010,Karnataka,Belgaum,-1.0,-1,1417,830,950,-1,-1,2724,-1,-1,5251
2011,Karnataka,Belgaum,-1.0,1522,-1,995,1069,-1,3456,3094,-1,-1,-1
2012,Karnataka,Belgaum,-1.0,2024,-1,1248,1335,-1,3506,4571,-1,-1,-1
2013,Karnataka,Belgaum,-1.0,1720,-1,-1,1231,-1,3333,2589,-1,-1,-1
2014,Karnataka,Belgaum,-1.0,2021,-1,1218,1123,-1,4036,4295,-1,-1,4359
2015,Karnataka,Belgaum,-1.0,2041,2292,-1,1474,-1,-1,4156,-1,-1,4350
2003,Karnataka,Bijapur / Vijayapura,-1.0,890,857,-1,536,-1,1425,1710,-1,-1,2248
2004,Karnataka,Bijapur / Vijayapura,-1.0,-1,-1,491,453,-1,-1,1657,-1,-1,-1
2005,Karnataka,Bijapur / Vijayapura,-1.0,-1,-1,508,457,-1,-1,1651,-1,-1,-1
2006,Karnataka,Bijapur / Vijayapura,-1.0,1190,-1,-1,625,-1,2119,1830,-1,-1,2025
2007,Karnataka,Bijapur / Vijayapura,-1.0,1493,1483,-1,770,-1,2419,2227,-1,-1,2846
2008,Karnataka,Bijapur / Vijayapura,-1.0,1245,-1,667,804,-1,2128,2295,-1,-1,-1
2009,Karnataka,Bijapur / Vijayapura,-1.0,1484,1050,704,820,-1,1951,2375,-1,-1,3462
2010,Karnataka,Bijapur / Vijayapura,-1.0,1649,-1,790,988,-1,2301,3068,-1,-1,-1
2011,Karnataka,Bijapur / Vijayapura,-1.0,1652,2596,1000,995,-1,3340,4122,-1,-1,-1
2012,Karnataka,Bijapur / Vijayapura,-1.0,1868,-1,-1,1734,-1,3529,4118,-1,-1,4312
2013,Karnataka,Bijapur / Vijayapura,-1.0,2322,-1,-1,1247,-1,2625,3412,-1,-1,4908
2014,Karnataka,Bijapur / Vijayapura,-1.0,2213,-1,1138,1114,-1,3430,5399,-1,-1,4321
2015,Karnataka,Bijapur / Vijayapura,-1.0,2706,-1,1006,1431,-1,3500,4859,-1,-1,-1
2003,Karnataka,Bidar,-1.0,857,-1,-1,-1,-1,-1,1877,-1,-1,-1
2004,Karnataka,Bidar,-1.0,-1,418,435,-1,-1,-1,-1,3168,-1,-1
2005,Karnataka,Bidar,-1.0,-1,-1,465,-1,-1,-1,-1,3180,-1,-1
2006,Karnataka,Bidar,-1.0,1076,-1,-1,-1,-1,2183,-1,-1,-1,-1
2007,Karnataka,Bidar,-1.0,1121,1618,-1,-1,-1,2159,2195,-1,-1,2656
2008,Karnataka,Bidar,-1.0,1267,1133,709,776,-1,2143,-1,5181,-1,-1
2009,Karnataka,Bidar,-1.0,1431,1181,896,1005,-1,1879,2269,4822,-1,-1
2010,Karnataka,Bidar,-1.0,1512,2348,856,984,-1,2320,2875,4059,-1,-1
2011,Karnataka,Bidar,-1.0,1489,2422,1017,-1,-1,3343,3925,4544,-1,-1
2012,Karnataka,Bidar,-1.0,1994,2692,1101,-1,-1,3278,4219,6113,-1,-1
2013,Karnataka,Bidar,-1.0,-1,-1,1163,-1,-1,3126,-1,10313,-1,-1
2014,Karnataka,Bidar,-1.0,2299,2348,1190,-1,-1,2695,-1,8700,-1,-1
2015,Karnataka,Bidar,-1.0,-1,1296,1425,1474,-1,-1,-1,6711,-1,-1
2003,Karnataka,Raichur,-1.0,-1,809,-1,-1,-1,-1,1902,-1,-1,2329
2004,Karnataka,Raichur,-1.0,-1,637,-1,-1,-1,1691,-1,-1,-1,1626
2005,Karnataka,Raichur,-1.0,-1,667,-1,-1,-1,-1,-1,-1,-1,1711
2006,Karnataka,Raichur,-1.0,-1,751,-1,-1,-1,2300,1884,2297,-1,1980
2007,Karnataka,Raichur,-1.0,-1,1075,-1,-1,-1,2284,2167,-1,-1,1277
2008,Karnataka,Raichur,-1.0,-1,893,766,776,-1,2215,2309,5784,-1,2286
2009,Karnataka,Raichur,-1.0,1578,879,809,1005,-1,1995,2390,4569,-1,2785
2010,Karnataka,Raichur,-1.0,-1,3039,838,-1,-1,2375,2944,4340,-1,3892
2011,Karnataka,Raichur,-1.0,1627,2289,995,-1,-1,4241,3729,5570,-1,-1
2012,Karnataka,Raichur,-1.0,-1,1088,1176,-1,-1,2903,4424,5773,-1,4181
2013,Karnataka,Raichur,-1.0,1611,-1,1218,-1,-1,-1,2906,8403,-1,4784
2014,Karnataka,Raichur,-1.0,-1,-1,1273,-1,-1,-1,4361,9961,-1,3898
2015,Karnataka,Raichur,-1.0,1815,-1,1274,-1,-1,-1,4925,-1,-1,-1
2003,Karnataka,Gulbarga / Kalaburagi,-1.0,877,624,-1,-1,-1,1444,1348,-1,-1,2058
2004,Karnataka,Gulbarga / Kalaburagi,-1.0,1039,831,532,-1,-1,1571,1550,2766,-1,1885
2005,Karnataka,Gulbarga / Kalaburagi,-1.0,1156,796,506,-1,-1,1592,1688,2812,-1,1916
2006,Karnataka,Gulbarga / Kalaburagi,-1.0,1164,970,597,-1,-1,2396,2187,3131,-1,2176
2007,Karnataka,Gulbarga / Kalaburagi,-1.0,1375,1615,-1,1109,-1,2132,2241,-1,-1,2233
2008,Karnataka,Gulbarga / Kalaburagi,-1.0,-1,-1,736,900,-1,2064,2527,5800,-1,2525
2009,Karnataka,Gulbarga / Kalaburagi,-1.0,1562,-1,815,980,-1,1914,2361,4598,-1,2574
2010,Karnataka,Gulbarga / Kalaburagi,-1.0,1687,2201,886,996,-1,2412,3428,4272,-1,3800
2011,Karnataka,Gulbarga / Kalaburagi,-1.0,1748,3278,1203,1110,-1,-1,3780,4168,-1,-1
2012,Karnataka,Gulbarga / Kalaburagi,-1.0,2382,-1,1516,1204,-1,3237,4045,6367,-1,4320
2013,Karnataka,Gulbarga / Kalaburagi,-1.0,2131,-1,-1,1820,-1,3018,4210,11102,-1,4456
2014,Karnataka,Gulbarga / Kalaburagi,-1.0,2316,-1,-1,1686,-1,3797,5253,8875,-1,-1
2015,Karnataka,Gulbarga / Kalaburagi,-1.0,2458,2500,-1,1395,-1,-1,4490,5413,-1,-1
2003,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,888,-1
2005,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,888,-1
2006,Karnataka,Dakshina Kannada,-1.0,-1,673,-1,-1,-1,-1,-1,-1,-1,-1
2007,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,798,-1,-1,-1,-1,-1,-1
2009,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,1005,-1,-1,-1,-1,-1,-1
2010,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2013,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,Karnataka,Dakshina Kannada,-1.0,-1,1799,-1,-1,-1,-1,-1,-1,-1,-1
2015,Karnataka,Dakshina Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2005,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2007,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,776,-1,-1,-1,-1,-1,2637
2009,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,1005,-1,-1,-1,-1,-1,-1
2010,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,3300,-1,-1
2011,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,1375,-1,-1,-1,-1,-1,-1
2013,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,1068,-1,-1,-1,-1,-1,-1
2014,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,1134,-1,-1,3417,-1,-1,-1
2015,Karnataka,Uttara Kannada,-1.0,-1,-1,-1,1433,-1,-1,-1,-1,-1,-1
2003,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2005,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2007,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,613,-1,-1,-1,-1,-1,-1
2008,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,744,-1,-1,-1,-1,-1,-1
2009,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,1005,-1,-1,-1,-1,-1,-1
2010,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,846,-1,-1,-1,-1,-1,-1
2011,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,934,-1,-1,-1,-1,-1,-1
2012,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,1262,-1,-1,-1,-1,-1,-1
2013,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,1338,-1,-1,-1,-1,-1,-1
2014,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,941,-1,-1,-1,-1,-1,-1
2015,Karnataka,Kodagu / Coorg,-1.0,-1,-1,-1,1188,-1,-1,-1,-1,-1,-1
2003,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,-1,531,-1,-1,-1,1744,2005,1015,-1
2004,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,-1,611,-1,-1,-1,1558,1918,1361,-1
2005,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,572,639,494,-1,2752,1913,2144,1335,1574
2006,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,661,-1,627,-1,2562,2456,1976,1147,1524
2007,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,881,-1,718,-1,3053,3133,3089,1268,2510
2008,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,1022,1112,833,-1,2659,2414,3395,2058,2848
2009,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,1163,1172,897,-1,2840,3320,3473,2722,2933
2010,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,1302,1530,943,-1,-1,4278,3681,2503,3255
2011,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,1127,1500,1060,-1,-1,3539,4450,2888,-1
2012,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,-1,1422,-1,-1,-1,4855,6421,3451,-1
2013,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,1375,2200,1392,-1,6404,5750,5250,4109,5800
2014,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,2660,1890,1369,-1,-1,4740,7904,4008,3500
2015,Tamil Nadu,Chengalpattu MGR / Kanchipuram,-1.0,-1,-1,-1,1989,-1,6017,5668,6180,-1,4279
2003,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,-1,505,-1,-1,-1,-1,1885,1114,-1
2004,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,-1,501,553,-1,1984,1567,2043,1484,-1
2005,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,517,639,630,-1,-1,1930,2022,1482,-1
2006,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,706,-1,-1,-1,-1,2615,2395,1050,-1
2007,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,688,-1,-1,-1,-1,-1,3023,1383,-1
2008,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,1116,880,1022,-1,-1,-1,4182,-1,-1
2009,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,1141,-1,-1,-1,2840,2878,4055,2607,-1
2010,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,1349,945,943,-1,-1,2806,3327,2838,3255
2011,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,1127,1078,1060,-1,-1,3539,4084,3156,3038
2012,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,1620,1784,1350,-1,-1,5659,7235,3963,4370
2013,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,2800,2214,1377,-1,-1,4267,6188,4354,5800
2014,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,2660,1838,1369,-1,-1,4204,6760,4008,3500
2015,Tamil Nadu,South Arcot / Cuddalore,-1.0,-1,-1,-1,1843,-1,-1,5668,6180,-1,4279
2003,Tamil Nadu,North Arcot / Vellore,-1.0,-1,506,466,553,-1,1674,-1,1843,886,-1
2004,Tamil Nadu,North Arcot / Vellore,-1.0,-1,521,540,-1,-1,1953,1446,1905,1346,-1
2005,Tamil Nadu,North Arcot / Vellore,-1.0,-1,498,564,-1,-1,-1,1520,2140,1295,-1
2006,Tamil Nadu,North Arcot / Vellore,-1.0,-1,568,-1,-1,-1,2662,2589,-1,837,-1
2007,Tamil Nadu,North Arcot / Vellore,-1.0,-1,809,-1,-1,-1,2843,-1,-1,1161,-1
2008,Tamil Nadu,North Arcot / Vellore,-1.0,-1,1031,750,-1,-1,2883,-1,-1,-1,3116
2009,Tamil Nadu,North Arcot / Vellore,-1.0,-1,924,1167,-1,-1,2925,2878,3274,-1,3395
2010,Tamil Nadu,North Arcot / Vellore,-1.0,-1,1215,1019,943,-1,3251,2806,3082,2133,3255
2011,Tamil Nadu,North Arcot / Vellore,-1.0,-1,1473,1182,1060,-1,4046,3539,3379,2463,3038
2012,Tamil Nadu,North Arcot / Vellore,-1.0,-1,1651,1542,1200,-1,3912,4855,5100,2971,4370
2013,Tamil Nadu,North Arcot / Vellore,-1.0,-1,1823,1596,1500,-1,-1,4267,6188,3739,5800
2014,Tamil Nadu,North Arcot / Vellore,-1.0,-1,2806,1838,1463,-1,4279,4500,6825,3506,3500
2015,Tamil Nadu,North Arcot / Vellore,-1.0,-1,-1,-1,1496,-1,5688,5648,6180,-1,4279
2003,Tamil Nadu,Salem,-1.0,-1,593,513,449,-1,2000,1495,1713,1039,-1
2004,Tamil Nadu,Salem,-1.0,-1,735,545,474,-1,2195,1500,2113,1339,-1
2005,Tamil Nadu,Salem,-1.0,-1,622,563,494,-1,2991,1736,2408,1345,-1
2006,Tamil Nadu,Salem,-1.0,-1,709,-1,563,-1,3433,1354,1901,1012,-1
2007,Tamil Nadu,Salem,-1.0,-1,780,-1,665,-1,2908,2134,3441,1397,1525
2008,Tamil Nadu,Salem,-1.0,-1,1147,900,827,-1,3263,2325,4135,-1,3116
2009,Tamil Nadu,Salem,-1.0,-1,-1,1211,871,-1,3743,2217,3792,-1,3395
2010,Tamil Nadu,Salem,-1.0,-1,1380,1042,1016,-1,3371,3056,3867,2725,3069
2011,Tamil Nadu,Salem,-1.0,-1,1521,1250,1171,-1,4149,3666,4122,-1,3152
2012,Tamil Nadu,Salem,-1.0,-1,2079,1250,1475,-1,4766,4691,7814,3873,3695
2013,Tamil Nadu,Salem,-1.0,-1,1955,1575,1444,-1,5138,4025,8358,3698,5800
2014,Tamil Nadu,Salem,-1.0,-1,1782,1838,1322,-1,4097,4483,7313,3705,3907
2015,Tamil Nadu,Salem,-1.0,-1,-1,-1,1500,-1,5641,5107,8119,-1,4279
2003,Tamil Nadu,Coimbatore,-1.0,-1,575,569,512,-1,1832,1465,2251,984,2106
2004,Tamil Nadu,Coimbatore,-1.0,-1,603,571,486,-1,1860,1468,2262,1330,1554
2005,Tamil Nadu,Coimbatore,-1.0,-1,678,589,533,-1,2056,1558,2473,1355,1668
2006,Tamil Nadu,Coimbatore,-1.0,-1,712,-1,662,-1,2509,1793,2384,957,1893
2007,Tamil Nadu,Coimbatore,-1.0,-1,957,-1,792,-1,2675,2375,3310,1329,2637
2008,Tamil Nadu,Coimbatore,-1.0,-1,1022,1014,853,-1,2692,2351,4414,-1,3116
2009,Tamil Nadu,Coimbatore,-1.0,-1,977,1063,888,-1,2891,2544,4251,-1,2664
2010,Tamil Nadu,Coimbatore,-1.0,-1,1227,1149,1078,-1,-1,3259,3832,2830,3027
2011,Tamil Nadu,Coimbatore,-1.0,-1,1452,1361,1296,-1,3783,3699,4592,2976,3152
2012,Tamil Nadu,Coimbatore,-1.0,-1,1612,1594,1595,-1,-1,4295,6418,3020,4370
2013,Tamil Nadu,Coimbatore,-1.0,-1,1989,1858,1862,-1,5347,5034,7207,3394,3589
2014,Tamil Nadu,Coimbatore,-1.0,-1,1974,1984,1636,-1,4787,5623,8101,3751,3907
2015,Tamil Nadu,Coimbatore,-1.0,-1,-1,-1,1709,-1,6311,4860,7712,-1,4700
2003,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,564,568,493,-1,2178,1492,2217,930,-1
2004,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,517,538,481,-1,1901,1421,2069,1269,-1
2005,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,579,589,553,-1,2180,1528,2021,1263,-1
2006,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,665,-1,635,-1,2466,1652,2145,920,-1
2007,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,771,-1,749,-1,2447,2208,3249,1163,2162
2008,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,946,1113,915,-1,2411,2625,-1,-1,2372
2009,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,983,1124,907,-1,2523,2514,3573,2641,-1
2010,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,1353,1116,1041,-1,2759,4692,3854,2659,3020
2011,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,1719,1295,1216,-1,4063,3975,3918,2961,3152
2012,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,1733,1660,1559,-1,6090,4801,6836,3769,4370
2013,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,2013,2070,1667,-1,6011,4057,8000,3969,3589
2014,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,2472,1851,1552,-1,4572,4450,6775,4048,3740
2015,Tamil Nadu,Tiruchirapalli / Trichy,-1.0,-1,-1,-1,1612,-1,6157,4740,8973,-1,4700
2003,Tamil Nadu,Thanjavur,-1.0,-1,-1,668,598,-1,-1,-1,1845,988,-1
2004,Tamil Nadu,Thanjavur,-1.0,-1,-1,621,520,-1,1902,1383,1905,1354,1057
2005,Tamil Nadu,Thanjavur,-1.0,-1,-1,675,632,-1,-1,1465,2122,1355,1381
2006,Tamil Nadu,Thanjavur,-1.0,-1,-1,-1,634,-1,-1,2020,2418,1004,1508
2007,Tamil Nadu,Thanjavur,-1.0,-1,-1,-1,833,-1,2884,2279,3276,1411,-1
2008,Tamil Nadu,Thanjavur,-1.0,-1,978,-1,943,-1,2712,2558,3917,-1,2512
2009,Tamil Nadu,Thanjavur,-1.0,-1,1152,1825,1017,-1,2724,2608,3482,2790,2465
2010,Tamil Nadu,Thanjavur,-1.0,-1,1500,1202,1174,-1,2867,4355,3339,2299,3020
2011,Tamil Nadu,Thanjavur,-1.0,-1,1735,1366,1226,-1,-1,4202,4246,2853,3073
2012,Tamil Nadu,Thanjavur,-1.0,-1,-1,1616,1649,-1,-1,4118,6662,3417,4370
2013,Tamil Nadu,Thanjavur,-1.0,-1,-1,1746,1651,-1,-1,4175,7952,3646,3589
2014,Tamil Nadu,Thanjavur,-1.0,-1,-1,-1,1716,-1,-1,4839,6633,3765,3740
2015,Tamil Nadu,Thanjavur,-1.0,-1,-1,-1,1830,-1,-1,5000,8973,-1,4700
2003,Tamil Nadu,Madurai,-1.0,-1,545,545,545,-1,1752,1693,1597,1011,-1
2004,Tamil Nadu,Madurai,-1.0,-1,512,516,523,-1,1767,1485,1767,1335,1035
2005,Tamil Nadu,Madurai,-1.0,-1,549,539,556,-1,2093,1727,2166,1290,1697
2006,Tamil Nadu,Madurai,-1.0,-1,663,-1,539,-1,2488,1991,2141,972,-1
2007,Tamil Nadu,Madurai,-1.0,-1,814,-1,740,-1,2654,-1,3021,1337,-1
2008,Tamil Nadu,Madurai,-1.0,-1,950,924,925,-1,2563,2495,3253,-1,2558
2009,Tamil Nadu,Madurai,-1.0,-1,944,1215,917,-1,2554,2710,4052,2652,2903
2010,Tamil Nadu,Madurai,-1.0,-1,1005,949,801,-1,2917,2996,3715,1868,2883
2011,Tamil Nadu,Madurai,-1.0,-1,1682,1554,1224,-1,3921,3888,4314,2948,3224
2012,Tamil Nadu,Madurai,-1.0,-1,1771,2207,1515,-1,3869,5463,5900,3644,4158
2013,Tamil Nadu,Madurai,-1.0,-1,1758,2058,1603,-1,5265,4155,7583,3915,3589
2014,Tamil Nadu,Madurai,-1.0,-1,1948,2138,1498,-1,3952,5800,6165,3862,3833
2015,Tamil Nadu,Madurai,-1.0,-1,-1,-1,1602,-1,5683,4771,7116,-1,3874
2003,Tamil Nadu,Ramananthapuram,-1.0,-1,-1,-1,-1,-1,-1,-1,2586,-1,-1
2004,Tamil Nadu,Ramananthapuram,-1.0,-1,-1,-1,-1,-1,-1,-1,1912,-1,1116
2005,Tamil Nadu,Ramananthapuram,-1.0,-1,-1,-1,-1,-1,-1,-1,1915,-1,1350
2006,Tamil Nadu,Ramananthapuram,-1.0,-1,-1,-1,-1,-1,-1,-1,2710,1023,1465
2007,Tamil Nadu,Ramananthapuram,-1.0,-1,988,-1,-1,-1,-1,-1,2953,-1,-1
2008,Tamil Nadu,Ramananthapuram,-1.0,-1,950,934,925,-1,-1,2139,3253,-1,-1
2009,Tamil Nadu,Ramananthapuram,-1.0,-1,1113,1133,-1,-1,3315,2500,3042,3080,-1
2010,Tamil Nadu,Ramananthapuram,-1.0,-1,1383,1497,1025,-1,2591,3097,4052,-1,2883
2011,Tamil Nadu,Ramananthapuram,-1.0,-1,1462,1426,1161,-1,-1,4013,3843,-1,3224
2012,Tamil Nadu,Ramananthapuram,-1.0,-1,1687,2207,1430,-1,-1,4222,6942,3497,3695
2013,Tamil Nadu,Ramananthapuram,-1.0,-1,2092,1579,1614,-1,5265,5633,7583,-1,3589
2014,Tamil Nadu,Ramananthapuram,-1.0,-1,2738,2138,-1,-1,4687,4291,5981,-1,3833
2015,Tamil Nadu,Ramananthapuram,-1.0,-1,-1,-1,1575,-1,5641,4771,7116,-1,3874
2003,Tamil Nadu,Thirunelveli,-1.0,-1,709,545,586,-1,2034,1453,2015,1014,1953
2004,Tamil Nadu,Thirunelveli,-1.0,-1,654,492,558,-1,2046,1167,2139,1354,1764
2005,Tamil Nadu,Thirunelveli,-1.0,-1,546,508,465,-1,2162,1590,1920,1357,1690
2006,Tamil Nadu,Thirunelveli,-1.0,-1,651,-1,584,-1,2534,1450,1988,1021,1788
2007,Tamil Nadu,Thirunelveli,-1.0,-1,831,-1,669,-1,2653,2093,2718,1374,2271
2008,Tamil Nadu,Thirunelveli,-1.0,-1,1176,944,735,-1,2762,2247,3317,-1,2827
2009,Tamil Nadu,Thirunelveli,-1.0,-1,824,1304,783,-1,2736,2186,3329,2787,2544
2010,Tamil Nadu,Thirunelveli,-1.0,-1,-1,-1,-1,-1,-1,3874,-1,-1,2651
2011,Tamil Nadu,Thirunelveli,-1.0,-1,1732,1554,1197,-1,-1,3760,3300,3135,3000
2012,Tamil Nadu,Thirunelveli,-1.0,-1,2021,1768,1697,-1,-1,3859,4641,3326,3000
2013,Tamil Nadu,Thirunelveli,-1.0,-1,2232,1743,1703,-1,-1,4155,7577,3852,4470
2014,Tamil Nadu,Thirunelveli,-1.0,-1,2229,1807,1641,-1,-1,5300,5183,3609,4200
2015,Tamil Nadu,Thirunelveli,-1.0,-1,-1,-1,1396,-1,-1,4527,7116,-1,3874
2003,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,2052,-1,-1,1745,1073
2005,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,1700,-1
2006,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,1418,-1
2007,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,1718,-1
2008,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2009,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,2840,4908,3838,-1,-1
2010,Tamil Nadu,The Nilgiris,-1.0,-1,1334,1413,1274,-1,-1,3259,5107,2840,3329
2011,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,3578,3000
2012,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,2033,-1,-1,-1,-1,4014,-1
2013,Tamil Nadu,The Nilgiris,-1.0,-1,2032,-1,-1,-1,-1,7100,-1,4200,4470
2014,Tamil Nadu,The Nilgiris,-1.0,-1,2362,-1,-1,-1,-1,7599,-1,4391,3907
2015,Tamil Nadu,The Nilgiris,-1.0,-1,-1,-1,-1,-1,-1,4527,-1,-1,3874
2003,Tamil Nadu,Kanyakumari,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,Tamil Nadu,Kanyakumari,-1.0,-1,-1,558,-1,-1,1953,-1,-1,1395,-1
2005,Tamil Nadu,Kanyakumari,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,Tamil Nadu,Kanyakumari,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,1597,-1
2007,Tamil Nadu,Kanyakumari,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,Tamil Nadu,Kanyakumari,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
